P0: 附件5
P1: 重要国际会议参考目录
P2: 参照中国计算机学会发布的《中国计算机学会推荐国际学术会议和期刊目录》中的A类国际学术会议目录，以及清华大学发布的《重要国际会议目录》中信息学科领域的顶尖级国际会议与A类会议目录，形成《重要国际会议参考目录》如下：

--- Table 0 (rows=391) ---
0: ['序号', '会议名称']
179: ['179', 'IEEE International Symposium on Antennas and Propagation and USNC-URSI Radio Science Meeting']
180: ['180', 'IEEE International symposium on Asynchronous Circuits and Systems']
181: ['181', 'IEEE International Symposium on Circuits and Systems']
182: ['182', 'IEEE International Symposium on High Performance Computer Architecture']
183: ['183', 'IEEE International Symposium on Information Theory']
184: ['184', 'IEEE Military Communications Conference']
185: ['185', 'IEEE PES Power System Conference and Exposition']
186: ['186', 'IEEE Photonics Conference']
187: ['187', 'IEEE Power & Energy Society General Meeting']
188: ['188', 'IEEE Radar Conference']
189: ['189', 'IEEE Radio Frequency Integrated Circuits Symposium']
190: ['190', 'IEEE Real-Time Systems Symposium']
191: ['191', 'IEEE Silicon Photonics Conference']
192: ['192', 'IEEE Symposia on VLSI Technology and Circuits']
193: ['193', 'IEEE Symposium on Foundations of Computer Science']
194: ['194', 'IEEE Symposium on Logic in Computer Science']
195: ['195', 'IEEE Symposium on Security and Privacy']
196: ['196', 'IEEE Symposium on VLSI Technology/Circuit']
197: ['197', 'IEEE Transactions on Information Theory']
198: ['198', 'IEEE Virtual Reality']
199: ['199', 'IEEE Visualization Conference']
200: ['200', 'IEEE Workshop on Automatic Speech Recognition and Understanding']
201: ['201', 'IEEE Workshop on Spoken Language Technology']
202: ['202', 'IEEE World Congress on Computational Intelligence']
203: ['203', 'IEEE/ACM International Symposium on Microarchitecture']
204: ['204', 'IEEE/CVF Computer Vision and Pattern RecognitionConference']
205: ['205', 'IEEE/RSJ International Conference on Intelligent Robotics and systems']
206: ['206', 'IEEE Symposiumon Security and Privacy']
207: ['207', 'IET Internaltional Conference on Renewable Power Generation']
208: ['208', 'IFAC International Symposium on Advanced Control of Chemical Processes']
209: ['209', 'Information and Computation']
210: ['210', 'INFORMS Conference on Quality Statistics and Reliability']
211: ['211', 'INFORMS Healthcare Conference']
212: ['212', 'INFORMS International Conference']
213: ['213', 'INFORMS on Manufacturing and Service Operations Management']
214: ['214', 'INFORMS Optimization Society Conference']
215: ['215', 'INFORMS Transportation Science and Logistics (TSL) Workshop/Conference']
216: ['216', 'Institute of Electrical and Electronics Engineers']
217: ['217', 'Institute of Industrial and Systems Engineers']
218: ['218', 'Intelligent Systems for Molecular Biology']
219: ['219', 'International ACM SIGIR Conference on Research and Development in Information Retrieval']
220: ['220', 'International Association of Societies of Design Research Conference']
221: ['221', 'International Astronautical Congress']
222: ['222', 'International Colloquium on Automata, Languages and Programming']
223: ['223', 'International Conference for High Performance Computing, Networking, Storage, and Analysis']
224: ['224', 'International Conference of IFORS']
225: ['225', 'International Conference of Machine Learning']
226: ['226', 'International Conference of the IEEE Engineering in Medicine and Biology Society']
227: ['227', 'International Conference on 3D Vision']
228: ['228', 'International Conference on Applied Surface Science']
229: ['229', 'International Conference on Architectural Support for Programming Languages and Operating Systems']
230: ['230', 'International Conference on Artificial General Intelligence']
231: ['231', 'International Conference on Atomic Physics ICAP']
232: ['232', 'International Conference on Automated Software Engineering']
233: ['233', 'International Conference on Biofabrication']
234: ['234', 'International Conference on Computational Fluid Dynamics']
235: ['235', 'International Conference on Computational Linguistics']
236: ['236', 'International Conference on Computational Methods']
237: ['237', 'International Conference on Computer Aided Verification']
238: ['238', 'International Conference on Computer Vision']
239: ['239', 'International Conference on Continuous Optimization']
240: ['240', 'International Conference on Cryptographic Hardware and Embedded Systems']
241: ['241', 'International Conference on Design Education']
242: ['242', 'International Conference on Developments in Power System Protection']
243: ['243', 'International Conference on Electrical Machines and Systems']
244: ['244', 'International Conference on Electronic Packaging Technology (ICEPT)']
245: ['245', 'International Conference on Embedded Software']
246: ['246', 'International Conference on Extending DB Technology']
247: ['247', 'International Conference on High Energy Physics']
248: ['248', 'International Conference on Human Computer Interaction']
249: ['249', 'International Conference on Information Processing in Sensor Networks']
250: ['250', 'International Conference on Intelligent Robotics and Applications']
251: ['251', 'International conference on Intelligent Systems for Molecular Biology']
252: ['252', 'International Conference on Ion Mobility Spectrometry']
253: ['253', 'International Conference on Learning Representations']
254: ['254', 'International Conference on Low Temperature Physics']
255: ['255', 'International Conference on Machine Learning']
256: ['256', 'International Conference on Magnetism']
257: ['257', 'International Conference on Measurement and Modeling of Computer Systems']
258: ['258', 'International Conference on Medical Image Computing and Computer Assisted Intervention']
259: ['259', 'International Conference on Micro Total Analysis Systems']
260: ['260', 'International Conference on Miniaturized Systems for Chemistry and Life Sciences']
261: ['261', 'International Conference on Mobile Computing and Networking']
262: ['262', 'International Conference on Mobile Systems, Applications, and Services']
263: ['263', 'International Conference on Multiphase Flow']
264: ['264', 'International Conference on Network Protocols']
265: ['265', 'International Conference on Pattern Recognition']
266: ['266', 'International Conference on Photochemical Conversion and Storage of Solar Energy']
267: ['267', 'International Conference on Photonic, Electronic and Atomic Collisions']
268: ['268', 'International Conference on Power Technologies']
269: ['269', 'International Conference on Properties and Applications of Dielectric Materials']
270: ['270', 'International Conference on Quark Matter']
271: ['271', 'International Conference on Research an Development in Information Retrieval']
272: ['272', 'International Conference on Research in Computational Molecular Biology']
273: ['273', 'International Conference on Research on Development in Information Retrieval']
274: ['274', 'International Conference on Robotics and Automation']
275: ['275', 'International Conference on Software Engineering']
276: ['276', 'International Conference on Solid-State Sensors, Actuators and Microsystems']
277: ['277', 'International Conference on Stochastic Programming']
278: ['278', 'International Conference on Supercomputing']
279: ['279', 'International Conference on Technological Advances of Thin Films and Surface Coatings']
280: ['280', 'International Conference on the Physics of Semiconductors']
281: ['281', 'International Conference on the Science and Applications on Nanotubes and low-dimensional materials (NT)']
282: ['282', 'International Conference on the Theory and Application of Cryptology and Information Security']
283: ['283', 'International Conference on the Theory and Applications of Cryptographic Techniques']
284: ['284', 'International Conference on Very Large Data Bases']
285: ['285', 'International Congress of Chinese Mathematicians']
286: ['286', 'International Congress of Mathematicians']
287: ['287', 'International Congress on Industrial and Applied Mathematics']
288: ['288', 'International Congress on Mathematical Physics']
289: ['289', 'International Cosmic Ray Conference']
290: ['290', 'International council of aeronautical sciences']
291: ['291', 'International Council on Large Electric Systems Session']
292: ['292', 'International Cryptology Conference']
293: ['293', 'International Design Conference']
294: ['294', 'International Federation of Automatic Control']
295: ['295', 'International Federation of Automatic Control Conference on Power System and Power Plant Control']
296: ['296', 'International IEEE Conference on Intelligent Transportation Systems']
297: ['297', 'International Joint Conference on Artificial Intelligence']
298: ['298', 'International Manufacturing Conference in China']
299: ['299', 'International Mass Spectrometry Conference']
300: ['300', 'International Measurement Confederation']
301: ['301', 'International Measurement Confederation (IMEKO) Conference']
302: ['302', 'International Neuromodulation Congress']
303: ['303', 'International Nuclear Physics Conference']
304: ['304', 'International Solid－State Circuits Conference']
305: ['305', 'International Symposium for Sustainable Systems and Technology']
306: ['306', 'International Symposium on Circuits and Systems']
307: ['307', 'International Symposium on Combustion']
308: ['308', 'International Symposium on Computer Architecture']
309: ['309', 'International Symposium on Formal Methods']
310: ['310', 'International Symposium on High Performance Distributed Computing']
311: ['311', 'International Symposium on High Voltage Engineering']
312: ['312', 'International Symposium on High-Performance Computer Architecture']
313: ['313', 'International Symposium on Lepton Photon Interactions at High Energies']
314: ['314', 'International Symposium on Mathematical Programming']
315: ['315', 'International Symposium on Measurement Technology and Intelligent Instruments']
316: ['316', 'International Symposium on Optical Memory']
317: ['317', 'International Symposium on Plasma and Energy Conversion']
318: ['318', 'International Symposium on Software Testing and Analysis']
319: ['319', 'International World Wide Web Conference']
320: ['320', 'Internet Measurement Conference']
321: ['321', 'ION Global Navigation Satellite Systems Plus Conference']
322: ['322', 'ISI World Statistics Congress']
323: ['323', 'ISOC Network and Distributed System Security Symposium']
324: ['324', 'Joint Mathematics Meetings']
325: ['325', 'Joint Statistical Meeting']
326: ['326', 'Lab on a Chip and Microfluidics World Congress']
327: ['327', 'M&SOM Annual Conference']
328: ['328', 'meeting of Institute for Operations Research and the Management Sciences']
329: ['329', 'Network and Distributed System Security Symposium']
330: ['330', 'Neuro interface conference']
331: ['331', 'OPTICA Advanced Photonics Congress']
332: ['332', 'OPTICA Biophotonics Congress']
333: ['333', 'OPTICA Digital Holography and 3-D Imaging']
334: ['334', 'OPTICA Fiber Communication Conference']
335: ['335', 'OPTICA Imaging and Applied Optics']
336: ['336', 'OPTICA Laser Congress']
337: ['337', 'OPTICA Nonlinear Optics']
338: ['338', 'OPTICA Optical Sensors and Sensing Congress']
339: ['339', 'Optical Fiber Communication Conference （OFC）']
340: ['340', 'OptoElectronics and Communications Conference']
341: ['341', 'Parallel Problem Solving from Nature']
342: ['342', 'PARTICLES: International Conference on ParticleBased Methods.']
343: ['343', 'POMS Annual Conference']
344: ['344', 'Power System Computing Conference']
345: ['345', 'Precise Time and Time Interval Systems andApplications Meeting']
346: ['346', 'Real-Time Systems Symposium']
347: ['347', 'Rencontres de Moriond QCD/EW']
348: ['348', 'Robotics: Science and Systems · A Robotics Conference']
349: ['349', 'SIAM Conference on Optimization']
350: ['350', 'SIAM Journal on Computing']
351: ['351', 'SIGKDD Conference on Knowledge Discovery and Data Mining']
352: ['352', 'SPIE Annual Meeting']
353: ['353', 'SPIE Medical Imaging (The Society of Photographic Instrumentation Engineers)']
354: ['354', 'SPIE Optics + Photonics']
355: ['355', 'SPIE Photonics Asia']
356: ['356', 'SPIE Photonics Europe']
357: ['357', 'SPIE Photonics West']
358: ['358', 'Symposia on VLSI Technology and Circuits']
359: ['359', 'Symposium on Network System Design and Implementation']
360: ['360', 'The ACM SIGCHI Conference on Human Factors in Computing Systems']
361: ['361', 'The annual ACM SIGKDD conference']
362: ['362', 'The Annual Conference of the NorthAmerican Chapter of the Association for Computational Linguistics']
363: ['363', 'The Annual International Conference of the ACM Special Interest Group on Data Communication']
364: ['364', 'The Annual International Conference on Mobile Computing and Networking']
365: ['365', 'The Association for Computational Linguistics']
366: ['366', 'The Conference on Advanced Packaging Reliability Technology and Interconnect Materials（CPPIM）']
367: ['367', 'The European Conference on Optical Communication']
368: ['368', 'The International ACM Symposium on High-Performance Parallel and Distributed Computing']
369: ['369', 'The Joint Statistical Meetings']
370: ['370', 'The Word Congress on Computational Mechanics']
371: ['371', 'The World Congress on Biosensors']
372: ['372', 'Topical Meetings of European Optical Society']
373: ['373', 'Topical Meetings of IEEE']
374: ['374', 'Topical Meetings of OPTICA']
375: ['375', 'Topical Meetings of Optical Society of America']
376: ['376', 'Topical Meetings of SPIE']
377: ['377', 'Transportation Research Board']
378: ['378', 'Triennial Congress of the International Ergonomics Association']
379: ['379', 'Triennial Symposium on Transportation Analysis']
380: ['380', 'USENIX Annul Technical Conference']
381: ['381', 'USENIX Conference on File and Storage Technologies']
382: ['382', 'Usenix Security Symposium']
383: ['383', 'USENIX Symposium on Networked Systems, Design and Implementation']
384: ['384', 'USENIX Symposium on Operating Systems Design and Implementation']
385: ['385', 'USENIX Symposium on Operating Systems Design and Implementation / ACM Symposium on Operating Systems Principles']
386: ['386', 'Winter Simulation Conference']
387: ['387', 'World Conference of Bernoulli Society (for Mathematical Statistics and Probability)']
388: ['388', 'World Congress of Structural and Multidisciplinary Optimization']
389: ['389', 'World Congress of the International Federation of Automatic Control']
390: ['390', 'World design congress']
